date,year_month,year,month,day_of_week,member_casual,ride_count
2021-04-02,2021 April,2021,April,Friday,member,401
2021-04-09,2021 April,2021,April,Friday,member,577
2021-04-16,2021 April,2021,April,Friday,member,555
2021-04-23,2021 April,2021,April,Friday,member,587
2021-04-30,2021 April,2021,April,Friday,member,611
2021-08-06,2021 August,2021,August,Friday,member,958
2021-08-13,2021 August,2021,August,Friday,member,1075
2021-08-20,2021 August,2021,August,Friday,member,990
2021-08-27,2021 August,2021,August,Friday,member,1118
2020-12-04,2020 December,2020,December,Friday,member,381
2020-12-11,2020 December,2020,December,Friday,member,258
2020-12-18,2020 December,2020,December,Friday,member,307
2020-12-25,2020 December,2020,December,Friday,member,48
2021-02-05,2021 February,2021,February,Friday,member,115
2021-02-12,2021 February,2021,February,Friday,member,133
2021-02-19,2021 February,2021,February,Friday,member,69
2021-02-26,2021 February,2021,February,Friday,member,234
2021-01-01,2021 January,2021,January,Friday,member,61
2021-01-08,2021 January,2021,January,Friday,member,249
2021-01-15,2021 January,2021,January,Friday,member,276
2021-01-22,2021 January,2021,January,Friday,member,231
2021-01-29,2021 January,2021,January,Friday,member,196
2021-07-02,2021 July,2021,July,Friday,member,1011
2021-07-09,2021 July,2021,July,Friday,member,1084
2021-07-16,2021 July,2021,July,Friday,member,962
2021-07-23,2021 July,2021,July,Friday,member,965
2021-07-30,2021 July,2021,July,Friday,member,1018
2021-06-04,2021 June,2021,June,Friday,member,1052
2021-06-11,2021 June,2021,June,Friday,member,1051
2021-06-18,2021 June,2021,June,Friday,member,954
2021-06-25,2021 June,2021,June,Friday,member,610
2021-03-05,2021 March,2021,March,Friday,member,293
2021-03-12,2021 March,2021,March,Friday,member,352
2021-03-19,2021 March,2021,March,Friday,member,334
2021-03-26,2021 March,2021,March,Friday,member,346
2021-05-07,2021 May,2021,May,Friday,member,622
2021-05-14,2021 May,2021,May,Friday,member,835
2021-05-21,2021 May,2021,May,Friday,member,967
2021-05-28,2021 May,2021,May,Friday,member,370
2020-11-06,2020 November,2020,November,Friday,member,771
2020-11-13,2020 November,2020,November,Friday,member,465
2020-11-20,2020 November,2020,November,Friday,member,515
2020-11-27,2020 November,2020,November,Friday,member,265
2020-10-02,2020 October,2020,October,Friday,member,724
2020-10-09,2020 October,2020,October,Friday,member,930
2020-10-16,2020 October,2020,October,Friday,member,610
2020-10-23,2020 October,2020,October,Friday,member,396
2020-10-30,2020 October,2020,October,Friday,member,526
2020-09-04,2020 September,2020,September,Friday,member,943
2020-09-11,2020 September,2020,September,Friday,member,746
2020-09-18,2020 September,2020,September,Friday,member,846
2020-09-25,2020 September,2020,September,Friday,member,928
2021-04-05,2021 April,2021,April,Monday,member,519
2021-04-12,2021 April,2021,April,Monday,member,569
2021-04-19,2021 April,2021,April,Monday,member,406
2021-04-26,2021 April,2021,April,Monday,member,620
2021-08-02,2021 August,2021,August,Monday,member,937
2021-08-09,2021 August,2021,August,Monday,member,688
2021-08-16,2021 August,2021,August,Monday,member,1025
2021-08-23,2021 August,2021,August,Monday,member,998
2021-08-30,2021 August,2021,August,Monday,member,1012
2020-12-07,2020 December,2020,December,Monday,member,310
2020-12-14,2020 December,2020,December,Monday,member,291
2020-12-21,2020 December,2020,December,Monday,member,287
2020-12-28,2020 December,2020,December,Monday,member,226
2021-02-01,2021 February,2021,February,Monday,member,129
2021-02-08,2021 February,2021,February,Monday,member,72
2021-02-15,2021 February,2021,February,Monday,member,21
2021-02-22,2021 February,2021,February,Monday,member,98
2021-01-04,2021 January,2021,January,Monday,member,190
2021-01-11,2021 January,2021,January,Monday,member,218
2021-01-18,2021 January,2021,January,Monday,member,236
2021-01-25,2021 January,2021,January,Monday,member,182
2021-07-05,2021 July,2021,July,Monday,member,842
2021-07-12,2021 July,2021,July,Monday,member,872
2021-07-19,2021 July,2021,July,Monday,member,985
2021-07-26,2021 July,2021,July,Monday,member,994
2021-06-07,2021 June,2021,June,Monday,member,785
2021-06-14,2021 June,2021,June,Monday,member,951
2021-06-21,2021 June,2021,June,Monday,member,883
2021-06-28,2021 June,2021,June,Monday,member,717
2021-03-01,2021 March,2021,March,Monday,member,230
2021-03-08,2021 March,2021,March,Monday,member,454
2021-03-15,2021 March,2021,March,Monday,member,133
2021-03-22,2021 March,2021,March,Monday,member,541
2021-03-29,2021 March,2021,March,Monday,member,421
2021-05-03,2021 May,2021,May,Monday,member,522
2021-05-10,2021 May,2021,May,Monday,member,462
2021-05-17,2021 May,2021,May,Monday,member,722
2021-05-24,2021 May,2021,May,Monday,member,816
2021-05-31,2021 May,2021,May,Monday,member,685
2020-11-02,2020 November,2020,November,Monday,member,504
2020-11-09,2020 November,2020,November,Monday,member,711
2020-11-16,2020 November,2020,November,Monday,member,418
2020-11-23,2020 November,2020,November,Monday,member,386
2020-11-30,2020 November,2020,November,Monday,member,261
2020-10-05,2020 October,2020,October,Monday,member,655
2020-10-12,2020 October,2020,October,Monday,member,521
2020-10-19,2020 October,2020,October,Monday,member,412
2020-10-26,2020 October,2020,October,Monday,member,411
2020-09-07,2020 September,2020,September,Monday,member,800
2020-09-14,2020 September,2020,September,Monday,member,734
2020-09-21,2020 September,2020,September,Monday,member,772
2020-09-28,2020 September,2020,September,Monday,member,577
2021-04-03,2021 April,2021,April,Saturday,member,643
2021-04-10,2021 April,2021,April,Saturday,member,239
2021-04-17,2021 April,2021,April,Saturday,member,579
2021-04-24,2021 April,2021,April,Saturday,member,650
2021-08-07,2021 August,2021,August,Saturday,member,996
2021-08-14,2021 August,2021,August,Saturday,member,1129
2021-08-21,2021 August,2021,August,Saturday,member,928
2021-08-28,2021 August,2021,August,Saturday,member,947
2020-12-05,2020 December,2020,December,Saturday,member,362
2020-12-12,2020 December,2020,December,Saturday,member,157
2020-12-19,2020 December,2020,December,Saturday,member,256
2020-12-26,2020 December,2020,December,Saturday,member,137
2021-02-06,2021 February,2021,February,Saturday,member,41
2021-02-13,2021 February,2021,February,Saturday,member,41
2021-02-20,2021 February,2021,February,Saturday,member,77
2021-02-27,2021 February,2021,February,Saturday,member,360
2021-01-02,2021 January,2021,January,Saturday,member,134
2021-01-09,2021 January,2021,January,Saturday,member,289
2021-01-16,2021 January,2021,January,Saturday,member,190
2021-01-23,2021 January,2021,January,Saturday,member,214
2021-01-30,2021 January,2021,January,Saturday,member,123
2021-07-03,2021 July,2021,July,Saturday,member,893
2021-07-10,2021 July,2021,July,Saturday,member,760
2021-07-17,2021 July,2021,July,Saturday,member,1033
2021-07-24,2021 July,2021,July,Saturday,member,878
2021-07-31,2021 July,2021,July,Saturday,member,1009
2021-06-05,2021 June,2021,June,Saturday,member,994
2021-06-12,2021 June,2021,June,Saturday,member,935
2021-06-19,2021 June,2021,June,Saturday,member,1067
2021-06-26,2021 June,2021,June,Saturday,member,514
2021-03-06,2021 March,2021,March,Saturday,member,314
2021-03-13,2021 March,2021,March,Saturday,member,469
2021-03-20,2021 March,2021,March,Saturday,member,496
2021-03-27,2021 March,2021,March,Saturday,member,490
2021-05-01,2021 May,2021,May,Saturday,member,824
2021-05-08,2021 May,2021,May,Saturday,member,556
2021-05-15,2021 May,2021,May,Saturday,member,550
2021-05-22,2021 May,2021,May,Saturday,member,1020
2021-05-29,2021 May,2021,May,Saturday,member,722
2020-11-07,2020 November,2020,November,Saturday,member,848
2020-11-14,2020 November,2020,November,Saturday,member,349
2020-11-21,2020 November,2020,November,Saturday,member,422
2020-11-28,2020 November,2020,November,Saturday,member,343
2020-10-03,2020 October,2020,October,Saturday,member,616
2020-10-10,2020 October,2020,October,Saturday,member,854
2020-10-17,2020 October,2020,October,Saturday,member,566
2020-10-24,2020 October,2020,October,Saturday,member,514
2020-10-31,2020 October,2020,October,Saturday,member,569
2020-09-05,2020 September,2020,September,Saturday,member,885
2020-09-12,2020 September,2020,September,Saturday,member,484
2020-09-19,2020 September,2020,September,Saturday,member,781
2020-09-26,2020 September,2020,September,Saturday,member,900
2021-04-04,2021 April,2021,April,Sunday,member,540
2021-04-11,2021 April,2021,April,Sunday,member,450
2021-04-18,2021 April,2021,April,Sunday,member,532
2021-04-25,2021 April,2021,April,Sunday,member,353
2021-08-01,2021 August,2021,August,Sunday,member,848
2021-08-08,2021 August,2021,August,Sunday,member,783
2021-08-15,2021 August,2021,August,Sunday,member,935
2021-08-22,2021 August,2021,August,Sunday,member,888
2021-08-29,2021 August,2021,August,Sunday,member,759
2020-12-06,2020 December,2020,December,Sunday,member,231
2020-12-13,2020 December,2020,December,Sunday,member,274
2020-12-20,2020 December,2020,December,Sunday,member,228
2020-12-27,2020 December,2020,December,Sunday,member,181
2021-02-07,2021 February,2021,February,Sunday,member,34
2021-02-14,2021 February,2021,February,Sunday,member,27
2021-02-21,2021 February,2021,February,Sunday,member,50
2021-02-28,2021 February,2021,February,Sunday,member,167
2021-01-03,2021 January,2021,January,Sunday,member,145
2021-01-10,2021 January,2021,January,Sunday,member,197
2021-01-17,2021 January,2021,January,Sunday,member,148
2021-01-24,2021 January,2021,January,Sunday,member,189
2021-01-31,2021 January,2021,January,Sunday,member,28
2021-07-04,2021 July,2021,July,Sunday,member,822
2021-07-11,2021 July,2021,July,Sunday,member,489
2021-07-18,2021 July,2021,July,Sunday,member,925
2021-07-25,2021 July,2021,July,Sunday,member,893
2021-06-06,2021 June,2021,June,Sunday,member,888
2021-06-13,2021 June,2021,June,Sunday,member,1017
2021-06-20,2021 June,2021,June,Sunday,member,650
2021-06-27,2021 June,2021,June,Sunday,member,905
2021-03-07,2021 March,2021,March,Sunday,member,316
2021-03-14,2021 March,2021,March,Sunday,member,257
2021-03-21,2021 March,2021,March,Sunday,member,524
2021-03-28,2021 March,2021,March,Sunday,member,326
2021-05-02,2021 May,2021,May,Sunday,member,763
2021-05-09,2021 May,2021,May,Sunday,member,330
2021-05-16,2021 May,2021,May,Sunday,member,773
2021-05-23,2021 May,2021,May,Sunday,member,662
2021-05-30,2021 May,2021,May,Sunday,member,728
2020-11-01,2020 November,2020,November,Sunday,member,314
2020-11-08,2020 November,2020,November,Sunday,member,716
2020-11-15,2020 November,2020,November,Sunday,member,203
2020-11-22,2020 November,2020,November,Sunday,member,228
2020-11-29,2020 November,2020,November,Sunday,member,284
2020-10-04,2020 October,2020,October,Sunday,member,543
2020-10-11,2020 October,2020,October,Sunday,member,732
2020-10-18,2020 October,2020,October,Sunday,member,269
2020-10-25,2020 October,2020,October,Sunday,member,372
2020-09-06,2020 September,2020,September,Sunday,member,559
2020-09-13,2020 September,2020,September,Sunday,member,859
2020-09-20,2020 September,2020,September,Sunday,member,771
2020-09-27,2020 September,2020,September,Sunday,member,804
2021-04-01,2021 April,2021,April,Thursday,member,325
2021-04-08,2021 April,2021,April,Thursday,member,299
2021-04-15,2021 April,2021,April,Thursday,member,483
2021-04-22,2021 April,2021,April,Thursday,member,548
2021-04-29,2021 April,2021,April,Thursday,member,546
2021-08-05,2021 August,2021,August,Thursday,member,1060
2021-08-12,2021 August,2021,August,Thursday,member,999
2021-08-19,2021 August,2021,August,Thursday,member,1055
2021-08-26,2021 August,2021,August,Thursday,member,1123
2020-12-03,2020 December,2020,December,Thursday,member,328
2020-12-10,2020 December,2020,December,Thursday,member,462
2020-12-17,2020 December,2020,December,Thursday,member,258
2020-12-24,2020 December,2020,December,Thursday,member,112
2020-12-31,2020 December,2020,December,Thursday,member,181
2021-02-04,2021 February,2021,February,Thursday,member,96
2021-02-11,2021 February,2021,February,Thursday,member,87
2021-02-18,2021 February,2021,February,Thursday,member,55
2021-02-25,2021 February,2021,February,Thursday,member,200
2021-01-07,2021 January,2021,January,Thursday,member,256
2021-01-14,2021 January,2021,January,Thursday,member,234
2021-01-21,2021 January,2021,January,Thursday,member,274
2021-01-28,2021 January,2021,January,Thursday,member,183
2021-07-01,2021 July,2021,July,Thursday,member,1067
2021-07-08,2021 July,2021,July,Thursday,member,958
2021-07-15,2021 July,2021,July,Thursday,member,857
2021-07-22,2021 July,2021,July,Thursday,member,1071
2021-07-29,2021 July,2021,July,Thursday,member,1006
2021-06-03,2021 June,2021,June,Thursday,member,970
2021-06-10,2021 June,2021,June,Thursday,member,1057
2021-06-17,2021 June,2021,June,Thursday,member,1099
2021-06-24,2021 June,2021,June,Thursday,member,695
2021-03-04,2021 March,2021,March,Thursday,member,270
2021-03-11,2021 March,2021,March,Thursday,member,420
2021-03-18,2021 March,2021,March,Thursday,member,209
2021-03-25,2021 March,2021,March,Thursday,member,349
2021-05-06,2021 May,2021,May,Thursday,member,497
2021-05-13,2021 May,2021,May,Thursday,member,765
2021-05-20,2021 May,2021,May,Thursday,member,919
2021-05-27,2021 May,2021,May,Thursday,member,598
2020-11-05,2020 November,2020,November,Thursday,member,631
2020-11-12,2020 November,2020,November,Thursday,member,525
2020-11-19,2020 November,2020,November,Thursday,member,526
2020-11-26,2020 November,2020,November,Thursday,member,177
2020-10-01,2020 October,2020,October,Thursday,member,646
2020-10-08,2020 October,2020,October,Thursday,member,833
2020-10-15,2020 October,2020,October,Thursday,member,686
2020-10-22,2020 October,2020,October,Thursday,member,675
2020-10-29,2020 October,2020,October,Thursday,member,483
2020-09-03,2020 September,2020,September,Thursday,member,928
2020-09-10,2020 September,2020,September,Thursday,member,599
2020-09-17,2020 September,2020,September,Thursday,member,876
2020-09-24,2020 September,2020,September,Thursday,member,945
2021-04-06,2021 April,2021,April,Tuesday,member,750
2021-04-13,2021 April,2021,April,Tuesday,member,532
2021-04-20,2021 April,2021,April,Tuesday,member,395
2021-04-27,2021 April,2021,April,Tuesday,member,826
2021-08-03,2021 August,2021,August,Tuesday,member,1080
2021-08-10,2021 August,2021,August,Tuesday,member,920
2021-08-17,2021 August,2021,August,Tuesday,member,1100
2021-08-24,2021 August,2021,August,Tuesday,member,817
2021-08-31,2021 August,2021,August,Tuesday,member,1042
2020-12-01,2020 December,2020,December,Tuesday,member,280
2020-12-08,2020 December,2020,December,Tuesday,member,299
2020-12-15,2020 December,2020,December,Tuesday,member,252
2020-12-22,2020 December,2020,December,Tuesday,member,276
2020-12-29,2020 December,2020,December,Tuesday,member,153
2021-02-02,2021 February,2021,February,Tuesday,member,155
2021-02-09,2021 February,2021,February,Tuesday,member,86
2021-02-16,2021 February,2021,February,Tuesday,member,14
2021-02-23,2021 February,2021,February,Tuesday,member,178
2021-01-05,2021 January,2021,January,Tuesday,member,271
2021-01-12,2021 January,2021,January,Tuesday,member,290
2021-01-19,2021 January,2021,January,Tuesday,member,235
2021-01-26,2021 January,2021,January,Tuesday,member,64
2021-07-06,2021 July,2021,July,Tuesday,member,903
2021-07-13,2021 July,2021,July,Tuesday,member,956
2021-07-20,2021 July,2021,July,Tuesday,member,1082
2021-07-27,2021 July,2021,July,Tuesday,member,1004
2021-06-01,2021 June,2021,June,Tuesday,member,857
2021-06-08,2021 June,2021,June,Tuesday,member,1010
2021-06-15,2021 June,2021,June,Tuesday,member,1048
2021-06-22,2021 June,2021,June,Tuesday,member,1102
2021-06-29,2021 June,2021,June,Tuesday,member,788
2021-03-02,2021 March,2021,March,Tuesday,member,264
2021-03-09,2021 March,2021,March,Tuesday,member,525
2021-03-16,2021 March,2021,March,Tuesday,member,266
2021-03-23,2021 March,2021,March,Tuesday,member,309
2021-03-30,2021 March,2021,March,Tuesday,member,493
2021-05-04,2021 May,2021,May,Tuesday,member,503
2021-05-11,2021 May,2021,May,Tuesday,member,605
2021-05-18,2021 May,2021,May,Tuesday,member,664
2021-05-25,2021 May,2021,May,Tuesday,member,893
2020-11-03,2020 November,2020,November,Tuesday,member,644
2020-11-10,2020 November,2020,November,Tuesday,member,471
2020-11-17,2020 November,2020,November,Tuesday,member,417
2020-11-24,2020 November,2020,November,Tuesday,member,151
2020-10-06,2020 October,2020,October,Tuesday,member,832
2020-10-13,2020 October,2020,October,Tuesday,member,837
2020-10-20,2020 October,2020,October,Tuesday,member,577
2020-10-27,2020 October,2020,October,Tuesday,member,347
2020-09-01,2020 September,2020,September,Tuesday,member,576
2020-09-08,2020 September,2020,September,Tuesday,member,418
2020-09-15,2020 September,2020,September,Tuesday,member,922
2020-09-22,2020 September,2020,September,Tuesday,member,915
2020-09-29,2020 September,2020,September,Tuesday,member,733
2021-04-07,2021 April,2021,April,Wednesday,member,745
2021-04-14,2021 April,2021,April,Wednesday,member,470
2021-04-21,2021 April,2021,April,Wednesday,member,392
2021-04-28,2021 April,2021,April,Wednesday,member,387
2021-08-04,2021 August,2021,August,Wednesday,member,1055
2021-08-11,2021 August,2021,August,Wednesday,member,968
2021-08-18,2021 August,2021,August,Wednesday,member,1113
2021-08-25,2021 August,2021,August,Wednesday,member,935
2020-12-02,2020 December,2020,December,Wednesday,member,396
2020-12-09,2020 December,2020,December,Wednesday,member,407
2020-12-16,2020 December,2020,December,Wednesday,member,261
2020-12-23,2020 December,2020,December,Wednesday,member,261
2020-12-30,2020 December,2020,December,Wednesday,member,122
2021-02-03,2021 February,2021,February,Wednesday,member,175
2021-02-10,2021 February,2021,February,Wednesday,member,83
2021-02-17,2021 February,2021,February,Wednesday,member,58
2021-02-24,2021 February,2021,February,Wednesday,member,237
2021-01-06,2021 January,2021,January,Wednesday,member,238
2021-01-13,2021 January,2021,January,Wednesday,member,270
2021-01-20,2021 January,2021,January,Wednesday,member,188
2021-01-27,2021 January,2021,January,Wednesday,member,161
2021-07-07,2021 July,2021,July,Wednesday,member,996
2021-07-14,2021 July,2021,July,Wednesday,member,1095
2021-07-21,2021 July,2021,July,Wednesday,member,1086
2021-07-28,2021 July,2021,July,Wednesday,member,1095
2021-06-02,2021 June,2021,June,Wednesday,member,907
2021-06-09,2021 June,2021,June,Wednesday,member,1056
2021-06-16,2021 June,2021,June,Wednesday,member,1091
2021-06-23,2021 June,2021,June,Wednesday,member,997
2021-06-30,2021 June,2021,June,Wednesday,member,847
2021-03-03,2021 March,2021,March,Wednesday,member,316
2021-03-10,2021 March,2021,March,Wednesday,member,385
2021-03-17,2021 March,2021,March,Wednesday,member,258
2021-03-24,2021 March,2021,March,Wednesday,member,455
2021-03-31,2021 March,2021,March,Wednesday,member,365
2021-05-05,2021 May,2021,May,Wednesday,member,647
2021-05-12,2021 May,2021,May,Wednesday,member,716
2021-05-19,2021 May,2021,May,Wednesday,member,737
2021-05-26,2021 May,2021,May,Wednesday,member,902
2020-11-04,2020 November,2020,November,Wednesday,member,644
2020-11-11,2020 November,2020,November,Wednesday,member,536
2020-11-18,2020 November,2020,November,Wednesday,member,402
2020-11-25,2020 November,2020,November,Wednesday,member,202
2020-10-07,2020 October,2020,October,Wednesday,member,848
2020-10-14,2020 October,2020,October,Wednesday,member,799
2020-10-21,2020 October,2020,October,Wednesday,member,554
2020-10-28,2020 October,2020,October,Wednesday,member,567
2020-09-02,2020 September,2020,September,Wednesday,member,993
2020-09-09,2020 September,2020,September,Wednesday,member,664
2020-09-16,2020 September,2020,September,Wednesday,member,927
2020-09-23,2020 September,2020,September,Wednesday,member,921
2020-09-30,2020 September,2020,September,Wednesday,member,743
